,Ticker,Company,Country,Sector,Date,Weight
4,EVG US,EATON VANCE SHORT DURATION DIV,United States,Limited Duration Bond Funds,2016-06-30,1.7788
5,BLW US,BLACKROCK LIMITED DURATION INC,United States,Limited Duration Bond Funds,2016-06-30,3.27368
6,PFL US,PIMCO INCOME STRATEGY FUND,United States,Limited Duration Bond Funds,2016-06-30,1.28027
7,FRA US,FRAPORT AG FRANKFURT AIRPORT SERVICES WORLDWIDE,United States,Senior Loan,2016-06-30,2.88404
8,BSL US,BLACKSTONE GSO SENIOR FLOAT RATE CF,United States,Senior Loan,2016-06-30,1.17651
9,JQC US,NUVEEN CREDIT STRATEGIES INCOM,United States,Senior Loan,2016-06-30,8.01548
10,ISD US,PRUDENTIAL SHORT DURATION HIGH,United States,Limited Duration Bond Funds,2016-06-30,2.97774
11,BGX US,BLACKSTONE/GSO LONG-SHORT CRED,United States,Senior Loan,2016-06-30,1.3267
12,PFN US,PIMCO FLOATING RATE STRATEGY FUND,United States,Limited Duration Bond Funds,2016-06-30,2.6655
13,EVF US,EATON VANCE SENIOR INCOME TRUS,United States,Senior Loan,2016-06-30,1.63192
14,JSD US,NUVEEN SHORT DURATION CREDIT O,United States,Senior Loan,2016-06-30,1.16001
15,PPR US,ING PRIME RATE CF,United States,Senior Loan,2016-06-30,4.44058
16,JRO US,NUVEEN FLOATING RATE INCOME OP,United States,Senior Loan,2016-06-30,2.30807
17,BGH US,BABSON CAPITAL GLOBAL SHORT DU,United States,Limited Duration Bond Funds,2016-06-30,2.06715
18,BHL US,BLACKROCK DEFINED OPPORTUNITY,United States,Limited Duration Bond Funds,2016-06-30,0.499728
19,KIO US,KUMBA IRON ORE,United States,Limited Duration Bond Funds,2016-06-30,1.6306
20,FCT US,FIRST TRUST SENIOR FLOATING RA,United States,Senior Loan,2016-06-30,1.98442
21,BGT US,BLACKROCK FLOATING RATE INM CF,United States,Senior Loan,2016-06-30,1.78453
22,EVV US,EATON VANCE LIMITED DURATION I,United States,Limited Duration Bond Funds,2016-06-30,7.95068
23,AFT US,APOLLO SENIOR FLOATING RATE FU,United States,Senior Loan,2016-06-30,1.75186
24,ARDC US,ARES DYNAMIC CREDIT ALLOCATION,United States,Senior Loan,2016-06-30,2.61127
25,NSL US,NUVEEN SENIOR INCOME FUND,United States,Senior Loan,2016-06-30,1.66231
26,VVR US,VAN KAMPEN SENIOR INCOME TRUST,United States,Senior Loan,2016-06-30,5.3949
27,EFT US,EATON VANCE FLOATING RATE INCOME TRUST,United States,Senior Loan,2016-06-30,3.09081
28,ACP US,AVENUE INCOME CREDIT STRATEGIE,United States,Senior Loan,2016-06-30,1.17864
29,AIF US,APOLLO TACTICAL INCOME FUND IN,United States,Limited Duration Bond Funds,2016-06-30,1.49662
30,ESD US,WESTERN ASST EMER MKT DEBT CF,United States,Limited Duration Bond Funds,2016-06-30,3.8998
31,DSU US,BLACKROCK DEBT STRATEGIES FUND INC,United States,Limited Duration Bond Funds,2016-06-30,4.8512
32,GHY US,PRUDENTIAL GLOBAL SHORT DURATI,United States,Limited Duration Bond Funds,2016-06-30,3.57717
33,VTA US,INVESCO DYNAMIC CREDIT OPPORTU,United States,Senior Loan,2016-06-30,5.95509
34,JFR US,NUVEEN FLOATING RATE INCOME FU,United States,Senior Loan,2016-06-30,3.30961
0,FTF US,FRANKLIN TEMPLETON LTD DUR INCOME CF,United States,Limited Duration Bond Funds,2016-03-31,2.49489
1,FCT US,FIRST TRUST SENIOR FLOATING RA,United States,Senior Loan,2016-03-31,2.01474
2,EFR US,EATON VANCE SENIOR FLOATING RATE TRUST,United States,Senior Loan,2016-03-31,2.475
3,JRO US,NUVEEN FLOATING RATE INCOME OP,United States,Senior Loan,2016-03-31,2.25198
4,JFR US,NUVEEN FLOATING RATE INCOME FU,United States,Senior Loan,2016-03-31,3.30458
5,ACP US,AVENUE INCOME CREDIT STRATEGIE,United States,Senior Loan,2016-03-31,0.895027
6,PPR US,ING PRIME RATE CF,United States,Senior Loan,2016-03-31,4.35937
7,PHD US,PIONEER FLOATING RATE TRUST,United States,Senior Loan,2016-03-31,2.0013
8,EVF US,EATON VANCE SENIOR INCOME TRUS,United States,Senior Loan,2016-03-31,1.6278
9,NHF US,NEXPOINT CREDIT STRATEGIES FUN,United States,Limited Duration Bond Funds,2016-03-31,2.31014
10,EVG US,EATON VANCE SHORT DURATION DIV,United States,Limited Duration Bond Funds,2016-03-31,1.89261
11,BGH US,BABSON CAPITAL GLOBAL SHORT DU,United States,Limited Duration Bond Funds,2016-03-31,1.96597
12,EVV US,EATON VANCE LIMITED DURATION I,United States,Limited Duration Bond Funds,2016-03-31,8.41275
13,BGT US,BLACKROCK FLOATING RATE INM CF,United States,Senior Loan,2016-03-31,1.8006
14,AFT US,APOLLO SENIOR FLOATING RATE FU,United States,Senior Loan,2016-03-31,1.08945
15,VVR US,VAN KAMPEN SENIOR INCOME TRUST,United States,Senior Loan,2016-03-31,4.39071
16,BHL US,BLACKROCK DEFINED OPPORTUNITY,United States,Limited Duration Bond Funds,2016-03-31,0.575256
17,PFN US,PIMCO FLOATING RATE STRATEGY FUND,United States,Limited Duration Bond Funds,2016-03-31,2.28497
18,EFT US,EATON VANCE FLOATING RATE INCOME TRUST,United States,Senior Loan,2016-03-31,3.05221
19,VTA US,INVESCO DYNAMIC CREDIT OPPORTU,United States,Senior Loan,2016-03-31,5.92922
20,ISD US,PRUDENTIAL SHORT DURATION HIGH,United States,Limited Duration Bond Funds,2016-03-31,3.73017
21,NSL US,NUVEEN SENIOR INCOME FUND,United States,Senior Loan,2016-03-31,1.69471
22,ARDC US,ARES DYNAMIC CREDIT ALLOCATION,United States,Senior Loan,2016-03-31,1.97717
23,BLW US,BLACKROCK LIMITED DURATION INC,United States,Limited Duration Bond Funds,2016-03-31,4.00512
24,GHY US,PRUDENTIAL GLOBAL SHORT DURATI,United States,Limited Duration Bond Funds,2016-03-31,4.42575
25,TLI US,LMP CORPORATE LOAN FUND INC,United States,Senior Loan,2016-03-31,0.683759
26,BGX US,BLACKSTONE/GSO LONG-SHORT CRED,United States,Senior Loan,2016-03-31,1.28146
27,ESD US,WESTERN ASST EMER MKT DEBT CF,United States,Limited Duration Bond Funds,2016-03-31,3.76413
28,AIF US,APOLLO TACTICAL INCOME FUND IN,United States,Limited Duration Bond Funds,2016-03-31,1.47753
29,KIO US,KUMBA IRON ORE,United States,Limited Duration Bond Funds,2016-03-31,1.63985
30,JSD US,NUVEEN SHORT DURATION CREDIT O,United States,Senior Loan,2016-03-31,1.12215
31,DSU US,BLACKROCK DEBT STRATEGIES FUND INC,United States,Limited Duration Bond Funds,2016-03-31,5.36657
32,BSL US,BLACKSTONE GSO SENIOR FLOAT RATE CF,United States,Senior Loan,2016-03-31,1.16361
33,JQC US,NUVEEN CREDIT STRATEGIES INCOM,United States,Senior Loan,2016-03-31,7.98538
34,FRA US,FRAPORT AG FRANKFURT AIRPORT SERVICES WORLDWIDE,United States,Senior Loan,2016-03-31,3.46308
35,PFL US,PIMCO INCOME STRATEGY FUND,United States,Limited Duration Bond Funds,2016-03-31,1.091
0,GHY US,PRUDENTIAL GLOBAL SHORT DURATI,United States,Limited Duration Bond Funds,2015-12-31,4.35961
1,TLI US,LMP CORPORATE LOAN FUND INC,United States,Senior Loan,2015-12-31,0.706334
2,AIF US,APOLLO TACTICAL INCOME FUND IN,United States,Limited Duration Bond Funds,2015-12-31,1.54247
3,EVF US,EATON VANCE SENIOR INCOME TRUS,United States,Senior Loan,2015-12-31,1.62657
4,ARDC US,ARES DYNAMIC CREDIT ALLOCATION,United States,Senior Loan,2015-12-31,1.93953
5,EVV US,EATON VANCE LIMITED DURATION I,United States,Limited Duration Bond Funds,2015-12-31,8.32174
6,NSL US,NUVEEN SENIOR INCOME FUND,United States,Senior Loan,2015-12-31,1.66667
7,JRO US,NUVEEN FLOATING RATE INCOME OP,United States,Senior Loan,2015-12-31,2.2733
8,BGH US,BABSON CAPITAL GLOBAL SHORT DU,United States,Limited Duration Bond Funds,2015-12-31,1.97481
9,BSL US,BLACKSTONE GSO SENIOR FLOAT RATE CF,United States,Senior Loan,2015-12-31,1.15822
10,PPR US,ING PRIME RATE CF,United States,Senior Loan,2015-12-31,4.44557
11,EVG US,EATON VANCE SHORT DURATION DIV,United States,Limited Duration Bond Funds,2015-12-31,1.92352
12,ISD US,PRUDENTIAL SHORT DURATION HIGH,United States,Limited Duration Bond Funds,2015-12-31,3.68353
13,KIO US,KUMBA IRON ORE,United States,Limited Duration Bond Funds,2015-12-31,1.62655
14,FTF US,FRANKLIN TEMPLETON LTD DUR INCOME CF,United States,Limited Duration Bond Funds,2015-12-31,2.44342
15,JFR US,NUVEEN FLOATING RATE INCOME FU,United States,Senior Loan,2015-12-31,3.42661
16,EFR US,EATON VANCE SENIOR FLOATING RATE TRUST,United States,Senior Loan,2015-12-31,2.38403
17,DSU US,BLACKROCK DEBT STRATEGIES FUND INC,United States,Limited Duration Bond Funds,2015-12-31,5.363
18,BLW US,BLACKROCK LIMITED DURATION INC,United States,Limited Duration Bond Funds,2015-12-31,4.08291
19,AFT US,APOLLO SENIOR FLOATING RATE FU,United States,Senior Loan,2015-12-31,1.02205
20,BHL US,BLACKROCK DEFINED OPPORTUNITY,United States,Limited Duration Bond Funds,2015-12-31,0.593123
21,JSD US,NUVEEN SHORT DURATION CREDIT O,United States,Senior Loan,2015-12-31,1.11589
22,NHF US,NEXPOINT CREDIT STRATEGIES FUN,United States,Limited Duration Bond Funds,2015-12-31,2.5777
23,ACP US,AVENUE INCOME CREDIT STRATEGIE,United States,Senior Loan,2015-12-31,0.913797
24,BGT US,BLACKROCK FLOATING RATE INM CF,United States,Senior Loan,2015-12-31,1.77265
25,BGX US,BLACKSTONE/GSO LONG-SHORT CRED,United States,Senior Loan,2015-12-31,1.30519
26,PFN US,PIMCO FLOATING RATE STRATEGY FUND,United States,Limited Duration Bond Funds,2015-12-31,2.31041
27,FCT US,FIRST TRUST SENIOR FLOATING RA,United States,Senior Loan,2015-12-31,1.96484
28,PHD US,PIONEER FLOATING RATE TRUST,United States,Senior Loan,2015-12-31,1.95171
29,ESD US,WESTERN ASST EMER MKT DEBT CF,United States,Limited Duration Bond Funds,2015-12-31,3.60072
30,PFL US,PIMCO INCOME STRATEGY FUND,United States,Limited Duration Bond Funds,2015-12-31,1.11118
31,JQC US,NUVEEN CREDIT STRATEGIES INCOM,United States,Senior Loan,2015-12-31,7.99687
32,FRA US,FRAPORT AG FRANKFURT AIRPORT SERVICES WORLDWIDE,United States,Senior Loan,2015-12-31,3.54455
33,VVR US,VAN KAMPEN SENIOR INCOME TRUST,United States,Senior Loan,2015-12-31,4.34761
34,EFT US,EATON VANCE FLOATING RATE INCOME TRUST,United States,Senior Loan,2015-12-31,2.97256
35,VTA US,INVESCO DYNAMIC CREDIT OPPORTU,United States,Senior Loan,2015-12-31,5.95076
0,AFT US,APOLLO SENIOR FLOATING RATE FU,United States,Senior Loan,2015-10-01,1.04
1,ACP US,AVENUE INCOME CREDIT STRATEGIE,United States,Senior Loan,2015-10-01,1.02
2,JQC US,NUVEEN CREDIT STRATEGIES INCOM,United States,Senior Loan,2015-10-01,7.99
3,FTF US,FRANKLIN TEMPLETON LTD DUR INCOME CF,United States,Limited Duration Bond Funds,2015-10-01,2.45
4,VTA US,INVESCO DYNAMIC CREDIT OPPORTU,United States,Senior Loan,2015-10-01,5.88
5,ESD US,WESTERN ASST EMER MKT DEBT CF,United States,Limited Duration Bond Funds,2015-10-01,3.48
6,EVV US,EATON VANCE LIMITED DURATION I,United States,Limited Duration Bond Funds,2015-10-01,8.15
7,BGX US,BLACKSTONE/GSO LONG-SHORT CRED,United States,Senior Loan,2015-10-01,1.36
8,NSL US,NUVEEN SENIOR INCOME FUND,United States,Senior Loan,2015-10-01,1.67
9,DSU US,BLACKROCK DEBT STRATEGIES FUND INC,United States,Limited Duration Bond Funds,2015-10-01,5.24
10,NHF US,NEXPOINT CREDIT STRATEGIES FUN,United States,Limited Duration Bond Funds,2015-10-01,2.86
11,GHY US,PRUDENTIAL GLOBAL SHORT DURATI,United States,Limited Duration Bond Funds,2015-10-01,4.19
12,PPR US,ING PRIME RATE CF,United States,Senior Loan,2015-10-01,4.38
13,BGH US,BABSON CAPITAL GLOBAL SHORT DU,United States,Limited Duration Bond Funds,2015-10-01,2.04
14,KIO US,KUMBA IRON ORE,United States,Limited Duration Bond Funds,2015-10-01,1.68
15,ARDC US,ARES DYNAMIC CREDIT ALLOCATION,United States,Senior Loan,2015-10-01,1.99
16,PFL US,PIMCO INCOME STRATEGY FUND,United States,Limited Duration Bond Funds,2015-10-01,1.09
17,FCT US,FIRST TRUST SENIOR FLOATING RA,United States,Senior Loan,2015-10-01,1.98
18,EVG US,EATON VANCE SHORT DURATION DIV,United States,Limited Duration Bond Funds,2015-10-01,1.86
19,AIF US,APOLLO TACTICAL INCOME FUND IN,United States,Limited Duration Bond Funds,2015-10-01,1.58
20,PHD US,PIONEER FLOATING RATE TRUST,United States,Senior Loan,2015-10-01,2
21,BHL US,BLACKROCK DEFINED OPPORTUNITY,United States,Limited Duration Bond Funds,2015-10-01,0.58
22,JFR US,NUVEEN FLOATING RATE INCOME FU,United States,Senior Loan,2015-10-01,3.31
23,FRA US,FRAPORT AG FRANKFURT AIRPORT SERVICES WORLDWIDE,United States,Senior Loan,2015-10-01,3.51
24,EVF US,EATON VANCE SENIOR INCOME TRUS,United States,Senior Loan,2015-10-01,1.64
25,ISD US,PRUDENTIAL SHORT DURATION HIGH,United States,Limited Duration Bond Funds,2015-10-01,3.64
26,BLW US,BLACKROCK LIMITED DURATION INC,United States,Limited Duration Bond Funds,2015-10-01,3.98
27,EFT US,EATON VANCE FLOATING RATE INCOME TRUST,United States,Senior Loan,2015-10-01,3.08
28,BGT US,BLACKROCK FLOATING RATE INM CF,United States,Senior Loan,2015-10-01,1.76
29,PFN US,PIMCO FLOATING RATE STRATEGY FUND,United States,Limited Duration Bond Funds,2015-10-01,2.3
30,TLI US,LMP CORPORATE LOAN FUND INC,United States,Senior Loan,2015-10-01,0.72
31,JRO US,NUVEEN FLOATING RATE INCOME OP,United States,Senior Loan,2015-10-01,2.28
32,JSD US,NUVEEN SHORT DURATION CREDIT O,United States,Senior Loan,2015-10-01,1.12
33,EFR US,EATON VANCE SENIOR FLOATING RATE TRUST,United States,Senior Loan,2015-10-01,2.5
34,BSL US,BLACKSTONE GSO SENIOR FLOAT RATE CF,United States,Senior Loan,2015-10-01,1.23
35,VVR US,VAN KAMPEN SENIOR INCOME TRUST,United States,Senior Loan,2015-10-01,4.43
